series,config,theoretical_q,empirical_q
r_1m_raw,NA,0.04764395595447656,0.026651846184786103
r_1m_raw,NA,0.05266352689406846,0.02833191187537415
r_1m_raw,NA,0.05768442510798417,0.030323777678108454
r_1m_raw,NA,0.06270677794321383,0.03174792907124065
r_1m_raw,NA,0.06773071300425916,0.03435560343256768
r_1m_raw,NA,0.07275635817603748,0.035905223061617815
r_1m_raw,NA,0.07778384164691525,0.036971789650020015
r_1m_raw,NA,0.08281329193188132,0.037690372746663287
r_1m_raw,NA,0.08784483789587182,0.038361589658148884
r_1m_raw,NA,0.09287860877725654,0.03942951330432526
r_1m_raw,NA,0.09791473421149946,0.04135100770918024
r_1m_raw,NA,0.10295334425500394,0.04251631261327004
r_1m_raw,NA,0.1079945694091542,0.04383754390211248
r_1m_raw,NA,0.11303854064456521,0.045068376059973346
r_1m_raw,NA,0.11808538942555302,0.04683456981344558
r_1m_raw,NA,0.12313524773483664,0.048574834907161205
r_1m_raw,NA,0.1281882480984856,0.05036993982843947
r_1m_raw,NA,0.13324452361112396,0.05247588880652109
r_1m_raw,NA,0.13830420796140463,0.05420582716804577
r_1m_raw,NA,0.14336743545776678,0.056717482107487525
r_1m_raw,NA,0.1484343410544899,0.059027150330478666
r_1m_raw,NA,0.15350506037805722,0.06162345204499289
r_1m_raw,NA,0.15857972975384332,0.06365835942789189
r_1m_raw,NA,0.16365848623314108,0.0651427690669635
r_1m_raw,NA,0.16874146762053788,0.06741904026129004
r_1m_raw,NA,0.17382881250166224,0.07200883177371084
r_1m_raw,NA,0.17892066027131193,0.07484823037790068
r_1m_raw,NA,0.18401715116197945,0.07631659201261665
r_1m_raw,NA,0.18911842627279238,0.07781774031132635
r_1m_raw,NA,0.1942246275988833,0.07939303477533685
r_1m_raw,NA,0.19933589806120677,0.08115556095078129
r_1m_raw,NA,0.20445238153682072,0.0836042213370443
r_1m_raw,NA,0.2095742228896491,0.08548602043353624
r_1m_raw,NA,0.2147015680017444,0.08712952861707085
r_1m_raw,NA,0.21983456380506858,0.0888644093534862
r_1m_raw,NA,0.22497335831381138,0.09063833465819193
r_1m_raw,NA,0.23011810065726557,0.09292699672888781
r_1m_raw,NA,0.23526894111327962,0.09517724884494339
r_1m_raw,NA,0.24042603114230793,0.09750591474958173
r_1m_raw,NA,0.24558952342208085,0.09942876418023264
r_1m_raw,NA,0.250759571882916,0.10213192069834884
r_1m_raw,NA,0.2559363317436934,0.10538170458649512
r_1m_raw,NA,0.26111995954851813,0.10791593510243624
r_1m_raw,NA,0.26631061320409494,0.10999648910107278
r_1m_raw,NA,0.2715084520178386,0.11236553977632363
r_1m_raw,NA,0.27671363673674687,0.1144493580965867
r_1m_raw,NA,0.2819263295870614,0.11611029493312662
r_1m_raw,NA,0.28714669431474543,0.11778535973950396
r_1m_raw,NA,0.2923748962268042,0.11959588381012058
r_1m_raw,NA,0.2976111022334798,0.12221479671733913
r_1m_raw,NA,0.30285548089134917,0.12564968348826325
r_1m_raw,NA,0.3081082024473549,0.12798385064252804
r_1m_raw,NA,0.31336943888380603,0.1297845288316519
r_1m_raw,NA,0.31863936396437514,0.1320913827750744
r_1m_raw,NA,0.323918153281133,0.13418786192845825
r_1m_raw,NA,0.32920598430265113,0.1358186528928654
r_1m_raw,NA,0.3345030364232122,0.13820453071801525
r_1m_raw,NA,0.3398094910131667,0.14107883762847878
r_1m_raw,NA,0.34512553147047226,0.14408709122574256
r_1m_raw,NA,0.35045134327346134,0.14664949660044338
r_1m_raw,NA,0.3557871140348752,0.14847128715054997
r_1m_raw,NA,0.36113303355721227,0.15103601004010234
r_1m_raw,NA,0.36648929388943363,0.15319208633813164
r_1m_raw,NA,0.3718560893850747,0.15513265324901163
r_1m_raw,NA,0.37723361676181155,0.1572513124546163
r_1m_raw,NA,0.3826220751625341,0.15931680969472936
r_1m_raw,NA,0.38802166621797707,0.16178939246254864
r_1m_raw,NA,0.3934325941109666,0.164150679883312
r_1m_raw,NA,0.39885506564233686,0.1671555085313557
r_1m_raw,NA,0.40428929029857885,0.17099092083318926
r_1m_raw,NA,0.4097354803212812,0.1742407632963037
r_1m_raw,NA,0.41519385077842685,0.17764379225183788
r_1m_raw,NA,0.4206646196376157,0.18052376994872502
r_1m_raw,NA,0.42614800784127826,0.18350862686580746
r_1m_raw,NA,0.43164423938395613,0.18614681137758965
r_1m_raw,NA,0.43715354139172224,0.18902852846479642
r_1m_raw,NA,0.44267614420382156,0.19113204843791246
r_1m_raw,NA,0.44821228145660913,0.1930810060384105
r_1m_raw,NA,0.4537621901698796,0.1950832068703685
r_1m_raw,NA,0.45932611083566305,0.19686976352278077
r_1m_raw,NA,0.46490428750959456,0.1987509694899421
r_1m_raw,NA,0.4704969679049415,0.20108833021278225
r_1m_raw,NA,0.47610440348939514,0.20340734573669458
r_1m_raw,NA,0.48172684958473033,0.20647019273384207
r_1m_raw,NA,0.4873645654694408,0.2103954849413349
r_1m_raw,NA,0.4930178144844647,0.21385130386027207
r_1m_raw,NA,0.49868686414212166,0.21698988774928032
