variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,adjusted,2020-09,5,28489,0.4352158241310334,0.4331957243256086,False,,,
log_hl,adjusted,2020-10,5,28888,0.5957732194504715,0.5914694818992566,False,,,
log_hl,adjusted,2020-11,5,27989,0.6062520166743587,0.5944200014766244,False,,,
log_hl,adjusted,2020-12,5,27996,0.41285148070167704,0.41170299299478297,False,,,
log_hl,adjusted,2021-01,5,26881,0.5307142296935883,0.5244305033664647,False,,,
log_hl,adjusted,2021-02,5,26874,0.625395727349363,0.6220134247225593,False,,,
log_hl,adjusted,2021-03,5,30120,0.4348022784186024,0.43228089163928374,False,,,
log_hl,adjusted,2021-04,5,29343,0.2946621082208299,0.2907538217981798,False,,,
log_hl,adjusted,2021-05,5,28214,0.4240211483610659,0.42423534285387265,False,,,
log_hl,adjusted,2021-06,5,28384,0.3795117306154366,0.37871851178009985,False,,,
log_hl,adjusted,2021-07,5,29998,0.4631196955480965,0.46463076668246583,False,,,
log_hl,adjusted,2021-08,5,30217,0.42878272295210806,0.4290378523494333,False,,,
log_hl,adjusted,2021-09,5,28615,0.5069884151487294,0.5067731174660625,False,,,
log_hl,adjusted,2021-10,5,28764,0.4632894016449786,0.4633024041911961,False,,,
log_hl,adjusted,2021-11,5,29770,0.5656901482479704,0.5626533363155041,False,,,
log_hl,adjusted,2021-12,5,29277,0.46843252963689397,0.4680210861128233,False,,,
log_hl,adjusted,2022-01,5,28635,0.5714411771568699,0.5711033222224706,False,,,
log_hl,adjusted,2022-02,5,27254,0.5016716127035276,0.496761398315137,False,,,
log_hl,adjusted,2022-03,5,30638,0.4271621541892233,0.42594598227321767,False,,,
log_hl,adjusted,2022-04,5,27500,0.42202486327669203,0.42158108025538743,False,,,
log_hl,adjusted,2022-05,5,30004,0.371626488009757,0.3700941143001068,False,,,
log_hl,adjusted,2022-06,5,29199,0.33481465469437055,0.3329570632735069,False,,,
log_hl,adjusted,2022-07,5,28623,0.344933923819608,0.3443203904316956,False,,,
log_hl,adjusted,2022-08,5,31613,0.29859051376397205,0.29755396392862354,False,,,
log_hl,adjusted,2022-09,5,29043,0.3973889460216239,0.39719570193876974,False,,,
log_hl,adjusted,2022-10,5,28875,0.34430498769696444,0.3449047098707106,False,,,
log_hl,adjusted,2022-11,5,29132,0.4027176623369828,0.40212310242849647,False,,,
log_hl,adjusted,2022-12,5,27999,0.3323778156491138,0.3625650956925327,False,,,
log_hl,adjusted,2023-01,5,28635,0.33454268036327356,0.3342936806803538,False,,,
log_hl,adjusted,2023-02,5,27260,0.4386573757127478,0.4386591634360672,False,,,
log_hl,adjusted,2023-03,5,30635,0.5586024130029305,0.5591408457905435,False,,,
log_hl,adjusted,2023-04,5,26738,0.2845223746331579,0.2848829214868271,False,,,
log_hl,adjusted,2023-05,5,31385,0.35773426778788414,0.35853747350473836,False,,,
log_hl,adjusted,2023-06,5,29155,0.3134841054883453,0.3139406239897334,False,,,
log_hl,adjusted,2023-07,5,28389,0.4243150490457722,0.42371701474406787,False,,,
log_hl,adjusted,2023-08,5,31619,0.32701574924548105,0.3263553659262537,False,,,
log_hl,adjusted,2023-09,5,27780,0.3308423901327635,0.3311160106682544,False,,,
log_hl,adjusted,2023-10,5,30237,0.31929444781542543,0.3154006893178148,False,,,
log_hl,adjusted,2023-11,5,29770,0.3373626723566041,0.3374573193668776,False,,,
log_hl,adjusted,2023-12,5,26585,0.3910228970004762,0.3940813041787772,False,,,
log_hl,adjusted,2024-01,5,30010,0.369116748731282,0.36912117728988036,False,,,
log_hl,adjusted,2024-02,5,28621,0.3712356790984745,0.3725210945882233,False,,,
log_hl,adjusted,2024-03,5,26713,0.40625269330379477,0.408145716589588,False,,,
log_hl,adjusted,2024-04,5,30225,0.5071262000827214,0.5060646393310758,False,,,
log_hl,adjusted,2024-05,5,31385,0.3963953511863455,0.39664925223349057,False,,,
