group_type,group,lag,n_pairs,rho,beta,insufficient_sample
year_month,2021-03,1,30385,0.014042469595499107,0.014033741506261629,False
year_month,2021-04,1,29478,0.04561523580717797,0.04560457978925234,False
year_month,2021-05,1,28343,-0.0012811400234614705,-0.001280825881726771,False
year_month,2021-06,1,28756,0.026638115714421685,0.026641578212626985,False
year_month,2021-07,1,30070,-0.002035773697124992,-0.0020355114316563685,False
year_month,2021-08,1,30293,0.01273106636998336,0.012728551766723072,False
year_month,2021-09,1,28890,-0.02394658720893575,-0.023945208169267266,False
year_month,2021-10,1,28827,-0.021932320091263332,-0.021927558287513364,False
year_month,2021-11,1,29836,-0.008262275823683557,-0.008247271248656101,False
year_month,2021-12,1,29450,0.0314667532834683,0.031466545203949974,False
year_month,2022-01,1,28698,0.027265839433440568,0.027257022117482956,False
year_month,2022-02,1,27317,0.020061615551388173,0.019983759403577932,False
year_month,2022-03,1,30807,0.014953084285237629,0.014950772178498299,False
year_month,2022-04,1,27560,0.017405803323640886,0.01738294938440708,False
year_month,2022-05,1,30073,0.015792595241605457,0.015788337827900182,False
year_month,2022-06,1,29295,-0.012461503130051678,-0.01246052557104764,False
year_month,2022-07,1,28692,-0.050086510665367616,-0.05007316059631136,False
year_month,2022-08,1,31688,0.016964912844968455,0.01695989502803296,False
year_month,2022-09,1,29201,0.007600572295481208,0.0076001378136152,False
