lag,rho,beta,n_pairs,estimable,series,bartlett_se
1009,-0.0014633330037381548,-0.0030595118108572615,457403,True,r_1m,0.0007259088741571945
1010,0.0011335997720569614,0.002365790304694072,456066,True,r_1m,0.0007259104149406018
1011,0.0019552330807365743,0.004075097967045842,454729,True,r_1m,0.0007259113395834604
1012,0.0014496021431103234,0.003017580706435532,453393,True,r_1m,0.000725914090329482
1013,0.001178511750872911,0.0024500371092093464,452058,True,r_1m,0.0007259156023225157
1014,0.0037146524162355163,0.007717493587126407,450723,True,r_1m,0.0007259166016762244
1015,-0.005064754469112452,-0.010514824279135006,449388,True,r_1m,0.0007259265301956647
1016,-0.005645125535945207,-0.011709807471295668,448053,True,r_1m,0.00072594498699655
1017,-0.004105156878663014,-0.00850848764424332,446718,True,r_1m,0.0007259679154342334
1018,-0.0025339419856764685,-0.005246372926848323,445383,True,r_1m,0.0007259800402817839
1019,-0.003773353484274088,-0.007810125091936264,444048,True,r_1m,0.0007259846598894857
1020,0.0021314572447764272,0.004402531075099397,442713,True,r_1m,0.0007259949037179798
1021,0.0010396573279511222,0.002143730336016499,441378,True,r_1m,0.000725998172278459
1022,-0.0034061539421105847,-0.007014686416697669,440043,True,r_1m,0.0007259989499254612
1023,0.0020391643276758188,0.004192744241054121,438708,True,r_1m,0.0007260072968767523
1024,0.0008373402224059261,0.0017197548743460099,437373,True,r_1m,0.000726010288455187
1025,-0.0014075641245342965,-0.0028863723536338014,436038,True,r_1m,0.0007260107928827447
1026,0.0005887248874882801,0.001205065834669761,434704,True,r_1m,0.0007260122182628705
1027,0.0013067260651874284,0.002672152188938001,433370,True,r_1m,0.0007260124676181745
